zona,dia_semana,hora,capacidad,ocupados,prob_ocupado
A,0,6,48,14,0.292
A,0,8,48,23,0.479
A,0,10,48,8,0.167
A,0,12,48,17,0.354
A,0,14,48,14,0.292
A,0,16,48,11,0.229
A,0,18,48,3,0.062
A,1,6,48,8,0.167
A,1,8,48,25,0.521
A,1,10,48,16,0.333
A,1,12,48,18,0.375
A,1,14,48,15,0.312
A,1,16,48,10,0.208
A,1,18,48,7,0.146
A,2,6,48,6,0.125
A,2,8,48,19,0.396
A,2,10,48,13,0.271
A,2,12,48,11,0.229
A,2,14,48,8,0.167
A,2,16,48,5,0.104
A,2,18,48,7,0.146
A,3,6,48,13,0.271
A,3,8,48,28,0.583
A,3,10,48,16,0.333
A,3,12,48,17,0.354
A,3,14,48,15,0.312
A,3,16,48,9,0.188
A,3,18,48,5,0.104
A,4,6,48,15,0.312
A,4,8,48,21,0.438
A,4,10,48,12,0.25
A,4,12,48,8,0.167
A,4,14,48,15,0.312
A,4,16,48,8,0.167
A,4,18,48,4,0.083
A,5,6,48,5,0.104
A,5,8,48,9,0.188
A,5,10,48,6,0.125
A,5,12,48,7,0.146
A,5,14,48,7,0.146
A,5,16,48,4,0.083
A,5,18,78,19,0.244
B,0,6,48,7,0.146
B,0,8,48,20,0.417
B,0,10,48,10,0.208
B,0,12,48,21,0.438
B,0,14,48,15,0.312
B,0,16,48,12,0.25
B,0,18,48,5,0.104
B,1,6,48,9,0.188
B,1,8,48,23,0.479
B,1,10,48,13,0.271
B,1,12,48,22,0.458
B,1,14,48,14,0.292
B,1,16,48,4,0.083
B,1,18,48,3,0.062
B,2,6,48,7,0.146
B,2,8,48,22,0.458
B,2,10,48,16,0.333
B,2,12,48,11,0.229
B,2,14,48,20,0.417
B,2,16,48,5,0.104
B,2,18,48,6,0.125
B,3,6,48,9,0.188
B,3,8,48,23,0.479
B,3,10,48,12,0.25
B,3,12,48,19,0.396
B,3,14,48,13,0.271
B,3,16,48,11,0.229
B,3,18,48,3,0.062
B,4,6,48,8,0.167
B,4,8,48,16,0.333
B,4,10,48,8,0.167
B,4,12,48,14,0.292
B,4,14,48,10,0.208
B,4,16,48,4,0.083
B,4,18,48,2,0.042
B,5,6,48,6,0.125
B,5,8,48,6,0.125
B,5,10,48,3,0.062
B,5,12,48,11,0.229
B,5,14,48,5,0.104
B,5,16,48,2,0.042
B,5,18,78,13,0.167
C,0,6,32,11,0.344
C,0,8,32,19,0.594
C,0,10,32,10,0.312
C,0,12,32,15,0.469
C,0,14,32,11,0.344
C,0,16,32,2,0.062
C,0,18,32,3,0.094
C,1,6,32,6,0.188
C,1,8,32,18,0.562
C,1,10,32,7,0.219
C,1,12,32,12,0.375
C,1,14,32,10,0.312
C,1,16,32,3,0.094
C,1,18,32,7,0.219
C,2,6,32,4,0.125
C,2,8,32,12,0.375
C,2,10,32,11,0.344
C,2,12,32,11,0.344
C,2,14,32,10,0.312
C,2,16,32,6,0.188
C,2,18,32,4,0.125
C,3,6,32,7,0.219
C,3,8,32,19,0.594
C,3,10,32,6,0.188
C,3,12,32,10,0.312
C,3,14,32,9,0.281
C,3,16,32,11,0.344
C,3,18,32,1,0.031
C,4,6,32,7,0.219
C,4,8,32,13,0.406
C,4,10,32,3,0.094
C,4,12,32,10,0.312
C,4,14,32,16,0.5
C,4,16,32,6,0.188
C,4,18,32,3,0.094
C,5,6,32,2,0.062
C,5,8,32,5,0.156
C,5,10,32,4,0.125
C,5,12,32,3,0.094
C,5,14,32,2,0.062
C,5,16,32,3,0.094
C,5,18,52,11,0.212
D,0,6,48,11,0.229
D,0,8,48,19,0.396
D,0,10,48,15,0.312
D,0,12,48,19,0.396
D,0,14,48,12,0.25
D,0,16,48,9,0.188
D,0,18,48,4,0.083
D,1,6,48,8,0.167
D,1,8,48,25,0.521
D,1,10,48,10,0.208
D,1,12,48,17,0.354
D,1,14,48,18,0.375
D,1,16,48,10,0.208
D,1,18,48,5,0.104
D,2,6,48,10,0.208
D,2,8,48,13,0.271
D,2,10,48,15,0.312
D,2,12,48,15,0.312
D,2,14,48,19,0.396
D,2,16,48,10,0.208
D,2,18,48,2,0.042
D,3,6,48,7,0.146
D,3,8,48,20,0.417
D,3,10,48,18,0.375
D,3,12,48,21,0.438
D,3,14,48,19,0.396
D,3,16,48,5,0.104
D,3,18,48,2,0.042
D,4,6,48,7,0.146
D,4,8,48,12,0.25
D,4,10,48,12,0.25
D,4,12,48,11,0.229
D,4,14,48,17,0.354
D,4,16,48,10,0.208
D,4,18,48,5,0.104
D,5,6,48,0,0.0
D,5,8,48,6,0.125
D,5,10,48,5,0.104
