semana,dia_semana,hora,zona,capacidad,ocupados,prob_ocupado
0,0,6,A,6,1,0.167
0,0,6,B,4,1,0.25
0,0,6,C,6,0,0.0
0,0,6,D,4,0,0.0
0,0,7,A,6,2,0.333
0,0,7,B,4,0,0.0
0,0,7,C,6,2,0.333
0,0,7,D,4,1,0.25
0,0,8,A,6,2,0.333
0,0,8,B,4,3,0.75
0,0,8,C,6,2,0.333
0,0,8,D,4,1,0.25
0,0,9,A,6,2,0.333
0,0,9,B,4,1,0.25
0,0,9,C,6,2,0.333
0,0,9,D,4,2,0.5
0,0,10,A,6,2,0.333
0,0,10,B,4,0,0.0
0,0,10,C,6,2,0.333
0,0,10,D,4,0,0.0
0,0,11,A,6,3,0.5
0,0,11,B,4,1,0.25
0,0,11,C,6,2,0.333
0,0,11,D,4,0,0.0
0,0,12,A,6,3,0.5
0,0,12,B,4,2,0.5
0,0,12,C,6,1,0.167
0,0,12,D,4,0,0.0
0,0,13,A,6,4,0.667
0,0,13,B,4,1,0.25
0,0,13,C,6,2,0.333
0,0,13,D,4,1,0.25
0,0,14,A,6,2,0.333
0,0,14,B,4,1,0.25
0,0,14,C,6,2,0.333
0,0,14,D,4,1,0.25
0,0,15,A,6,2,0.333
0,0,15,B,4,1,0.25
0,0,15,C,6,1,0.167
0,0,15,D,4,0,0.0
0,0,16,A,6,2,0.333
0,0,16,B,4,0,0.0
0,0,16,C,6,2,0.333
0,0,16,D,4,0,0.0
0,0,17,A,6,2,0.333
0,0,17,B,4,1,0.25
0,0,17,C,6,0,0.0
0,0,17,D,4,0,0.0
0,0,18,A,6,1,0.167
0,0,18,B,4,0,0.0
0,0,18,C,6,1,0.167
0,0,18,D,4,0,0.0
0,1,6,A,6,1,0.167
0,1,6,B,4,0,0.0
0,1,6,C,6,1,0.167
0,1,6,D,4,0,0.0
0,1,7,A,6,2,0.333
0,1,7,B,4,2,0.5
0,1,7,C,6,2,0.333
0,1,7,D,4,2,0.5
0,1,8,A,6,4,0.667
0,1,8,B,4,0,0.0
0,1,8,C,6,2,0.333
0,1,8,D,4,1,0.25
0,1,9,A,6,3,0.5
0,1,9,B,4,1,0.25
0,1,9,C,6,3,0.5
0,1,9,D,4,2,0.5
0,1,10,A,6,1,0.167
0,1,10,B,4,1,0.25
0,1,10,C,6,2,0.333
0,1,10,D,4,2,0.5
0,1,11,A,6,3,0.5
0,1,11,B,4,1,0.25
0,1,11,C,6,1,0.167
0,1,11,D,4,1,0.25
0,1,12,A,6,2,0.333
0,1,12,B,4,2,0.5
0,1,12,C,6,2,0.333
0,1,12,D,4,0,0.0
0,1,13,A,6,2,0.333
0,1,13,B,4,2,0.5
0,1,13,C,6,4,0.667
0,1,13,D,4,1,0.25
0,1,14,A,6,2,0.333
0,1,14,B,4,0,0.0
0,1,14,C,6,2,0.333
0,1,14,D,4,2,0.5
0,1,15,A,6,2,0.333
0,1,15,B,4,1,0.25
0,1,15,C,6,2,0.333
0,1,15,D,4,0,0.0
0,1,16,A,6,2,0.333
0,1,16,B,4,0,0.0
0,1,16,C,6,2,0.333
0,1,16,D,4,1,0.25
0,1,17,A,6,1,0.167
0,1,17,B,4,1,0.25
0,1,17,C,6,2,0.333
0,1,17,D,4,1,0.25
0,1,18,A,6,1,0.167
0,1,18,B,4,0,0.0
0,1,18,C,6,1,0.167
0,1,18,D,4,0,0.0
0,2,6,A,6,1,0.167
0,2,6,B,4,1,0.25
0,2,6,C,6,1,0.167
0,2,6,D,4,1,0.25
0,2,7,A,6,3,0.5
0,2,7,B,4,0,0.0
0,2,7,C,6,2,0.333
0,2,7,D,4,0,0.0
0,2,8,A,6,4,0.667
0,2,8,B,4,1,0.25
0,2,8,C,6,3,0.5
0,2,8,D,4,1,0.25
0,2,9,A,6,3,0.5
0,2,9,B,4,1,0.25
0,2,9,C,6,2,0.333
0,2,9,D,4,1,0.25
0,2,10,A,6,2,0.333
0,2,10,B,4,1,0.25
0,2,10,C,6,1,0.167
0,2,10,D,4,1,0.25
0,2,11,A,6,1,0.167
0,2,11,B,4,0,0.0
0,2,11,C,6,2,0.333
0,2,11,D,4,1,0.25
0,2,12,A,6,3,0.5
0,2,12,B,4,1,0.25
0,2,12,C,6,1,0.167
0,2,12,D,4,0,0.0
0,2,13,A,6,3,0.5
0,2,13,B,4,2,0.5
0,2,13,C,6,3,0.5
0,2,13,D,4,1,0.25
0,2,14,A,6,3,0.5
0,2,14,B,4,0,0.0
0,2,14,C,6,2,0.333
0,2,14,D,4,1,0.25
0,2,15,A,6,2,0.333
0,2,15,B,4,2,0.5
0,2,15,C,6,1,0.167
0,2,15,D,4,1,0.25
0,2,16,A,6,2,0.333
0,2,16,B,4,0,0.0
0,2,16,C,6,1,0.167
0,2,16,D,4,0,0.0
0,2,17,A,6,1,0.167
0,2,17,B,4,0,0.0
0,2,17,C,6,2,0.333
0,2,17,D,4,1,0.25
0,2,18,A,6,2,0.333
0,2,18,B,4,1,0.25
0,2,18,C,6,0,0.0
0,2,18,D,4,0,0.0
0,3,6,A,6,1,0.167
0,3,6,B,4,0,0.0
0,3,6,C,6,1,0.167
0,3,6,D,4,1,0.25
0,3,7,A,6,3,0.5
0,3,7,B,4,1,0.25
0,3,7,C,6,1,0.167
0,3,7,D,4,1,0.25
0,3,8,A,6,4,0.667
0,3,8,B,4,1,0.25
0,3,8,C,6,2,0.333
0,3,8,D,4,1,0.25
0,3,9,A,6,2,0.333
0,3,9,B,4,2,0.5
0,3,9,C,6,0,0.0
0,3,9,D,4,1,0.25
0,3,10,A,6,1,0.167
0,3,10,B,4,1,0.25
0,3,10,C,6,2,0.333
0,3,10,D,4,1,0.25
0,3,11,A,6,2,0.333
0,3,11,B,4,1,0.25
0,3,11,C,6,2,0.333
0,3,11,D,4,0,0.0
0,3,12,A,6,3,0.5
0,3,12,B,4,1,0.25
0,3,12,C,6,2,0.333
0,3,12,D,4,0,0.0
0,3,13,A,6,3,0.5
0,3,13,B,4,1,0.25
0,3,13,C,6,2,0.333
0,3,13,D,4,1,0.25
0,3,14,A,6,3,0.5
0,3,14,B,4,1,0.25
0,3,14,C,6,2,0.333
0,3,14,D,4,2,0.5
0,3,15,A,6,2,0.333
0,3,15,B,4,1,0.25
0,3,15,C,6,2,0.333
0,3,15,D,4,2,0.5
0,3,16,A,6,0,0.0
0,3,16,B,4,0,0.0
0,3,16,C,6,1,0.167
0,3,16,D,4,0,0.0
0,3,17,A,6,2,0.333
0,3,17,B,4,0,0.0
0,3,17,C,6,0,0.0
0,3,17,D,4,0,0.0
0,3,18,A,6,1,0.167
0,3,18,B,4,0,0.0
0,3,18,C,6,1,0.167
0,3,18,D,4,0,0.0
0,4,6,A,6,1,0.167
0,4,6,B,4,1,0.25
0,4,6,C,6,1,0.167
0,4,6,D,4,0,0.0
0,4,7,A,6,3,0.5
0,4,7,B,4,1,0.25
0,4,7,C,6,1,0.167
0,4,7,D,4,1,0.25
